exercise_name,exercise_url,body_part,Target,Synergists,Dynamic Stabilizers,Stabilizers,Antagonist Stabilizers
One Arm Pull-up,https://exrx.net/WeightExercises/LatissimusDorsi/BWOneArmPullup,Back,Latissimus Dorsi,"Brachialis; Brachioradialis; Biceps Brachii; Teres Major; Deltoid, Posterior; Infraspinatus; Teres Minor; Rhomboids; Levator Scapulae; Trapezius, Lower; Trapezius, Middle; Pectoralis Minor","Triceps, Long        Head",,
Parallel Close Grip Pull-up,https://exrx.net/WeightExercises/LatissimusDorsi/BWCloseGripChinup,Back,Latissimus Dorsi,"Brachialis; Brachioradialis; Teres Major; Deltoid, Posterior; Rhomboids; Levator Scapulae; Trapezius, Lower; Trapezius, Middle; Pectoralis Major, Sternal; Pectoralis Minor","Biceps Brachii; Triceps, Long Head",,
Pull-up,https://exrx.net/WeightExercises/LatissimusDorsi/BWPullup,Back,Latissimus Dorsi,"Brachialis; Brachioradialis; Biceps Brachii; Teres Major; Deltoid, Posterior; Infraspinatus; Teres Minor; Coracobrachialis; Rhomboids; Levator Scapulae; Trapezius, Lower; Trapezius, Middle; Pectoralis Minor","Triceps, Long Head",,
Partner-assisted Chin-up,https://exrx.net/WeightExercises/LatissimusDorsi/AsUnderhandChinupPartner,Back,Latissimus Dorsi,"Brachialis; Brachioradialis; Teres Major; Deltoid, Posterior; Rhomboids; Levator Scapulae; Trapezius, Lower; Trapezius, Middle; Pectoralis Major, Sternal; Pectoralis Minor","Biceps Brachii; Triceps, Long Head",,
Partner-assisted Pull-up,https://exrx.net/WeightExercises/LatissimusDorsi/AsChinupPartner,Back,Latissimus Dorsi,"Brachialis; Brachioradialis; Biceps Brachii; Teres Major; Deltoid, Posterior; Infraspinatus; Teres Minor; Coracobrachialis; Rhomboids; Levator Scapulae; Trapezius, Middle; Trapezius, Lower; Pectoralis Minor","Triceps, Long Head",,
Self-assisted Chin-up,https://exrx.net/WeightExercises/LatissimusDorsi/AsUnderhandChinupSelf,Back,Latissimus Dorsi,"Brachialis; Brachioradialis; Teres Major; Deltoid, Posterior; Rhomboids; Levator Scapulae; Trapezius, Lower; Trapezius, Middle; Pectoralis        Major, Sternal; Pectoralis Minor","Biceps Brachii; Triceps, Long        Head",,
Self-assisted Pull-up,https://exrx.net/WeightExercises/LatissimusDorsi/AsChinupSelf,Back,Latissimus Dorsi,"Brachialis; Brachioradialis; Biceps Brachii; Teres Major; Deltoid, Posterior; Infraspinatus; Teres Minor; Coracobrachialis; Rhomboids; Levator Scapulae; Trapezius, Middle; Trapezius, Lower; Pectoralis Minor","Triceps, Long Head",,
Suspended Pull-up,https://exrx.net/WeightExercises/LatissimusDorsi/STPullup,Back,Latissimus Dorsi,"Brachialis; Brachioradialis; Biceps Brachii; Teres Major; Rhomboids; Levator Scapulae; Trapezius, Lower; Pectoralis Major, Sternal; Coracobrachialis; Pectoralis Minor","Triceps, Long Head",,
Suspended Self-assisted Pull-up,https://exrx.net/WeightExercises/LatissimusDorsi/STSelfAssistedPullup,Back,Latissimus Dorsi,"Brachialis; Brachioradialis; Biceps Brachii; Teres Major; Deltoid, Posterior; Infraspinatus; Teres Minor; Coracobrachialis; Rhomboids; Levator Scapulae; Trapezius, Middle; Trapezius, Lower; Pectoralis Minor","Triceps, Long Head",,
Barbell Shrug,https://exrx.net/WeightExercises/TrapeziusUpper/BBShrug,Back,"Trapezius, Upper","Trapezius, Middle; Levator Scapulae",,Erector Spinae,
Trap Bar Shrug,https://exrx.net/WeightExercises/TrapeziusUpper/TBShrug,Back,"Trapezius, Upper","Trapezius, Middle; Levator Scapulae",,Erector Spinae,
Cable Shrug,https://exrx.net/WeightExercises/TrapeziusUpper/CBShrug,Back,"Trapezius, Upper","Trapezius, Middle; Levator Scapulae",,Erector Spinae,
Cable Isolateral Shrug,https://exrx.net/WeightExercises/TrapeziusUpper/CBShrugStirrups,Back,"Trapezius, Upper","Trapezius, Middle; Levator Scapulae",,Erector Spinae,
Dumbbell Shrug,https://exrx.net/WeightExercises/TrapeziusUpper/DBShrug,Back,"Trapezius, Upper","Trapezius, Middle; Levator Scapulae",,Erector Spinae,
Lever Seated Shrug (plate loaded),https://exrx.net/WeightExercises/TrapeziusUpper/LVSeatedShrug,Back,"Trapezius, Upper","Trapezius, Middle; Levator Scapulae",,No significant stabilizers,
Lever Shrug (plate loaded),https://exrx.net/WeightExercises/TrapeziusUpper/LVShrugH,Back,"Trapezius, Upper","Trapezius, Middle; Levator Scapulae",,Erector Spinae,
Lever Shrug,https://exrx.net/WeightExercises/TrapeziusUpper/LVShrug,Back,"Trapezius, Upper","Trapezius, Middle; Levator Scapulae",,Erector Spinae,
Sled Gripless Shrug,https://exrx.net/WeightExercises/TrapeziusUpper/SLXGripShrug,Back,"Trapezius, Upper","Trapezius, Middle; Levator Scapulae",,Erector Spinae,
Smith Shrug,https://exrx.net/WeightExercises/TrapeziusUpper/SMShrug,Back,"Trapezius, Upper","Trapezius, Middle; Levator Scapulae",,Erector Spinae,
Hang Clean,https://exrx.net/WeightExercises/OlympicLifts/HangClean,Back,,,,,
Inverted Shrug (on parallel bars),https://exrx.net/WeightExercises/TrapeziusUpper/BWInvertedShrugPB,Back,"Trapezius, Upper","Trapezius, Middle; Levator Scapulae",,,
Suspended Inverted Shrug,https://exrx.net/WeightExercises/TrapeziusUpper/BWInvertedShrugRings,Back,"Trapezius, Upper","Trapezius, Middle; Levator Scapulae",,,
Cable Standing Shoulder External Rotation,https://exrx.net/WeightExercises/Infraspinatus/CBStandingExternalRotation,Back,Infraspinatus,"Teres Minor; Deltoid, Posterior",,"Rhomboids; Trapezius, Lower; Deltoid, Lateral; Wrist Extensors",
Dumbbell Lying Shoulder External Rotation,https://exrx.net/WeightExercises/Infraspinatus/DBLyingExternalRotation,Back,Infraspinatus,"Teres Minor; Deltoid, Posterior",,"Rhomboids; Trapezius, Lower; Wrist Extensors",
Dumbbell Upright Shoulder External Rotation (with support),https://exrx.net/WeightExercises/Infraspinatus/DBUprightExternalRotationSupport,Back,Teres Minor,"Infraspinatus; Deltoid, Posterior; Supraspinatus",,Serratus Anterior; Wrist Extensors,
Lever Isolateral Shoulder External Rotation (plate loaded),https://exrx.net/WeightExercises/Infraspinatus/LVShoulderExternalRotationPL,Back,Teres Minor,"Infraspinatus; Deltoid, Posterior; Supraspinatus",,Serratus Anterior,
Lever Shoulder External Rotation,https://exrx.net/WeightExercises/Infraspinatus/LVExternalRotation,Back,Infraspinatus,"Teres Minor; Deltoid, Posterior",,"Trapezius, Lower; Wrist Extensors",
Suspended Shoulder External Rotation,https://exrx.net/WeightExercises/Infraspinatus/STShoulderExternalRotation,Back,Infraspinatus,"Teres Minor; Deltoid, Posterior; Trapezius, Middle; Trapezius, Lower; Rhomboids",,Latissimus Dorsi; Teres Major; Wrist Extensors; Erector Spinae; Gluteus Maximus; Hamstrings,Rectus Abdominis; Obliques
