exercise_name,exercise_url,Target,Synergists,Dynamic Stabilizers,Stabilizers,Antagonist Stabilizers,Antagonist      Stabilizers,Dynamic      Stabilizers,Stabilizers (Raised Leg),Stabilizers (Raised Arms),Stabilizers (see comments),Stabilizers (raised leg),Target (see comments),Stabilizers (near arm),Stabilizers (far arm),Synergists (Neck),Synergists / Stabilizers (Spine),Stabilizers (Other),Synergists (Spine),Synergists / Stabilizers (Hips),Target (see comments),Target(See Comments),Synergists (see comments),Target (See Comments),Stabilizers (raised arms),Antagonist Stabilizers (see comment),​​​​​​​Stabilizers,Stabilizers (see comments),Antagonist Stabilizers (see comments)
Cable Step-up,https://exrx.net/WeightExercises/GluteusMaximus/CBStepUp,Gluteus Maximus,Quadriceps; Adductor Magnus; Soleus; Gastrocnemius        (Second Leg),,"Erector Spinae; Trapezius, Upper; Trapezius, Middle; Levator Scapulae; Gluteus Medius; Gluteus Minimus; Quadratus        Lumborum; Obliques",,Rectus Abdominis; Obliques,Hamstrings; Gastrocnemius        (First Leg),,,,,,,,,,,,,,,,,,,,,
Cable Stiff Leg Deadlift,https://exrx.net/WeightExercises/GluteusMaximus/CBStiffLegDeadlift,Gluteus Maximus,Erector Spinae; Adductor Magnus; Hamstrings,,"Quadriceps; Trapezius, Middle; Rhomboids; Latissimus Dorsi; Trapezius, Upper; Levator Scapulae; Trapezius, Lower",,Rectus Abdominis; Obliques,,,,,,,,,,,,,,,,,,,,,,
Cable Straight-back Stiff-leg Deadlift,https://exrx.net/WeightExercises/GluteusMaximus/CBStrBackStiffLegDeadlift,Gluteus Maximus,Hamstrings; Adductor Magnus,,"Erector Spinae; Quadriceps; Trapezius, Middle; Rhomboids; Latissimus Dorsi; Trapezius, Upper; Levator Scapulae; Trapezius, Lower",,Rectus Abdominis; Obliques,,,,,,,,,,,,,,,,,,,,,,
Dumbbell Lunge,https://exrx.net/WeightExercises/GluteusMaximus/DBLunge,Gluteus Maximus,Quadriceps; Adductor Magnus; Soleus,Hamstrings; Gastrocnemius,"Erector Spinae; Trapezius, Upper; Trapezius, Middle; Levator Scapulae; Tibialis Anterior; Gluteus Medius; Gluteus Minimus; Quadratus Lumborum; Obliques",,,,,,,,,,,,,,,,,,,,,,,,
Dumbbell Rear Lunge,https://exrx.net/WeightExercises/GluteusMaximus/DBRearLunge,Gluteus Maximus,Quadriceps; Adductor Magnus; Soleus,Hamstrings; Gastrocnemius,"Erector Spinae; Trapezius, Upper; Trapezius, Lower; Levator Scapulae; Gluteus Medius; Gluteus Minimus; Quadratus Lumborum; Obliques",,,,,,,,,,,,,,,,,,,,,,,,
Dumbbell Split Squat,https://exrx.net/WeightExercises/GluteusMaximus/DBSplitSquat,Gluteus Maximus,Quadriceps; Adductor Magnus; Soleus,Hamstrings; Gastrocnemius,Erector Spinae; Gluteus Medius; Gluteus Minimus,,,,,,,,,,,,,,,,,,,,,,,,
Dumbbell Squat,https://exrx.net/WeightExercises/GluteusMaximus/DBSquat,Gluteus Maximus,Quadriceps; Adductor Magnus; Soleus,Hamstrings; Gastrocnemius,"Erector Spinae; Trapezius, Upper; Trapezius, Middle; Levator Scapulae; Rhomboids",Rectus Abdominis; Obliques,,,,,,,,,,,,,,,,,,,,,,,
Dumbbell Front Squat,https://exrx.net/WeightExercises/GluteusMaximus/DBFrontSquat,Gluteus Maximus,Quadriceps; Adductor Magnus; Soleus,,"Erector Spinae; Trapezius, Upper; Trapezius, Middle; Levator Scapulae",,Rectus Abdominis; Obliques,Hamstrings; Gastrocnemius,,,,,,,,,,,,,,,,,,,,,
Dumbbell Step-up,https://exrx.net/WeightExercises/GluteusMaximus/DBStepUp,Gluteus Maximus,Quadriceps; Adductor Magnus; Soleus; Gastrocnemius        (Second Leg),,"Erector Spinae; Trapezius, Upper; Trapezius, Middle; Levator Scapulae; Gluteus Medius; Gluteus Minimus; Quadratus        Lumborum; Obliques",,Rectus Abdominis; Obliques,Hamstrings; Gastrocnemius        (First Leg),,,,,,,,,,,,,,,,,,,,,
Dumbbell Step Down,https://exrx.net/WeightExercises/GluteusMaximus/DBStepDown,Gluteus Maximus,Quadriceps; Adductor Magnus; Soleus; Gastrocnemius (Following Leg),Hamstrings; Gastrocnemius (Lead Leg),Erector Spinae; Gluteus Medius; Gluteus Minimus; Quadratus Lumborum; Obliques,Rectus Abdominis,,,,,,,,,,,,,,,,,,,,,,,
